"","all_star_status","team_id","team_full_name","link","season","team_code","file_code","team_abbreviation","team_name","location_name","first_year_of_play","short_name","franchise_name","club_name","active","spring_league_id","spring_league_name","spring_league_link","spring_league_abbreviation","venue_id","venue_name","venue_link","spring_venue_id","spring_venue_link","league_id","league_name","league_link","division_id","division_name","division_link","sport_id","sport_link","sport_name","parent_org_name","parent_org_id"
"36","N",529,"Tacoma Rainiers","/api/v1/teams/529",2022,"tac","t529","TAC","Rainiers","Tacoma","1960","Tacoma","Tacoma","Rainiers",TRUE,NA,"","","",2745,"Cheney Stadium","/api/v1/venues/2745",NA,"",112,"Pacific Coast League","/api/v1/league/112",231,"Pacific Coast League West","/api/v1/divisions/231",11,"/api/v1/sports/11","Triple-A","Seattle Mariners",136
"37","N",531,"Scranton/Wilkes-Barre RailRiders","/api/v1/teams/531",2022,"swb","t531","SWB","RailRiders","Moosic","1989","Scranton/WB","Scranton/WB","RailRiders",TRUE,NA,"","","",2797,"PNC Field","/api/v1/venues/2797",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","New York Yankees",147
"38","N",533,"Worcester Red Sox","/api/v1/teams/533",2022,"wor","t533","WOR","Red Sox","Worcester","1970","Worcester","Worcester","Red Sox",TRUE,NA,"","","",5410,"Polar Park","/api/v1/venues/5410",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Boston Red Sox",111
"39","N",534,"Rochester Red Wings","/api/v1/teams/534",2022,"roc","t534","ROC","Red Wings","Rochester","1927","Rochester","Rochester","Red Wings",TRUE,NA,"","","",2773,"Frontier Field","/api/v1/venues/2773",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Washington Nationals",120
"40","N",342,"Albuquerque Isotopes","/api/v1/teams/342",2022,"alb","t342","ABQ","Isotopes","Albuquerque","1946","Albuquerque","Albuquerque","Isotopes",TRUE,NA,"","","",2683,"Isotopes Park","/api/v1/venues/2683",NA,"",112,"Pacific Coast League","/api/v1/league/112",233,"Pacific Coast League East","/api/v1/divisions/233",11,"/api/v1/sports/11","Triple-A","Colorado Rockies",115
"41","N",541,"Omaha Storm Chasers","/api/v1/teams/541",2022,"oma","t541","OMA","Storm Chasers","Papillion","1969","Omaha","Omaha","Storm Chasers",TRUE,NA,"","","",4271,"Werner Park","/api/v1/venues/4271",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Kansas City Royals",118
"42","N",416,"Louisville Bats","/api/v1/teams/416",2022,"lou","t416","LOU","Bats","Louisville","1982","Louisville","Louisville","Bats",TRUE,NA,"","","",2724,"Louisville Slugger Field","/api/v1/venues/2724",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Cincinnati Reds",113
"43","N",484,"Indianapolis Indians","/api/v1/teams/484",2022,"ind","t484","IND","Indians","Indianapolis","1932","Indianapolis","Indianapolis","Indians",TRUE,NA,"","","",2858,"Victory Field","/api/v1/venues/2858",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Pittsburgh Pirates",134
"44","N",422,"Buffalo Bisons","/api/v1/teams/422",2022,"buf","t422","BUF","Bisons","Buffalo","1927","Buffalo","Buffalo","Bisons",TRUE,NA,"","","",2756,"Sahlen Field","/api/v1/venues/2756",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Toronto Blue Jays",141
"45","N",102,"Round Rock Express","/api/v1/teams/102",2022,"rre","t102","RR","Express","Round Rock","2000","Round Rock","Round Rock","Express",TRUE,NA,"","","",2528,"Dell Diamond","/api/v1/venues/2528",NA,"",112,"Pacific Coast League","/api/v1/league/112",233,"Pacific Coast League East","/api/v1/divisions/233",11,"/api/v1/sports/11","Triple-A","Texas Rangers",140
