"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"690","FF",2022-04-08,98.5,-1.97,5.87,"Cole, Gerrit",657077,543037,"","ball",NA,NA,NA,NA,13,"Alex Verdugo grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","L","R","NYY","BOS","B",NA,"",0,0,2022,-0.88,1.55,-1.1,2.45,NA,502110,NA,0,1,"Top",NA,NA,NA,NA,543309,NA,NA,4.39853536320244,-143.117389990922,-7.34568582926311,-13.1652640495844,37.3234346576229,-9.32663222636055,3.52,1.61,NA,NA,NA,97.8,2549,6.3,661333,543037,543309,519203,518934,518626,643396,608336,543305,592450,54.21,NA,NA,NA,NA,NA,NA,NA,5,1,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",206,0,0.053
"691","CH",2022-05-31,85.7,1.84,5.73,"Urías, Julio",656308,628711,"single","hit_into_play",NA,NA,NA,NA,14,"Michael Chavis singles on a ground ball to pitcher Julio Urias.","R","R","L","LAD","PIT","X",1,"ground_ball",0,1,2022,1.15,0.48,0.85,2.44,NA,NA,NA,1,3,"Top",118.32,192.43,NA,NA,669257,NA,NA,-4.64824706143519,-124.832232052653,-2.49820363641722,12.9585902784828,23.5355817914164,-26.8846615999646,3.38,1.54,1,60.9,-58,85.7,1998,6.1,662735,628711,669257,518692,666158,457759,607208,607680,621035,605141,54.44,0.189,0.17,0.9,1,1,0,2,21,2,"Changeup",0,4,4,0,4,0,4,0,"Standard","Standard",132,-0.01,0.293
"692","CH",2022-05-31,85.6,1.78,5.73,"Urías, Julio",656308,628711,"","foul",NA,NA,NA,NA,9,"Michael Chavis singles on a ground ball to pitcher Julio Urias.","R","R","L","LAD","PIT","S",NA,"",0,0,2022,1.29,0.39,0.33,1.67,NA,NA,NA,1,3,"Top",NA,NA,NA,NA,669257,NA,NA,-5.97785550921554,-124.509157713968,-4.03304271290094,14.6230806075436,26.0633329131552,-27.490634110704,3.38,1.54,NA,NA,NA,84.9,1905,5.9,662735,628711,669257,518692,666158,457759,607208,607680,621035,605141,54.55,NA,NA,NA,NA,NA,NA,NA,21,1,"Changeup",0,4,4,0,4,0,4,0,"Standard","Standard",126,0,-0.024
"693","CH",2022-05-25,86,1.8,5.71,"Urías, Julio",444876,628711,"single","hit_into_play",NA,NA,NA,NA,14,"Alcides Escobar singles on a bunt ground ball to third baseman Justin Turner, deflected by pitcher Julio Urias.   Victor Robles to 2nd.","R","R","L","WSH","LAD","X",1,"ground_ball",0,2,2022,1.4,0.5,0.05,1.31,NA,NA,645302,0,6,"Bot",116.85,189.09,NA,NA,605131,NA,NA,-6.98674935205833,-125.08496637718,-5.20757096631282,16.1219887448812,23.7824798136667,-26.1286066437864,3.41,1.62,1,84,-40,86.2,1959,6.3,662527,628711,605131,518692,571970,457759,607208,666158,621035,593643,54.21,0.106,0.101,0.9,1,1,0,2,41,4,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",131,0.07,0.158
"694","CU",2022-05-25,80.5,1.67,5.91,"Urías, Julio",444876,628711,"","foul",NA,NA,NA,NA,4,"Alcides Escobar singles on a bunt ground ball to third baseman Justin Turner, deflected by pitcher Julio Urias.   Victor Robles to 2nd.","R","R","L","WSH","LAD","S",NA,"",0,2,2022,-1.69,-0.12,-0.8,2.49,NA,NA,645302,0,6,"Bot",NA,NA,NA,NA,605131,NA,NA,-2.26095766074726,-117.2511353103,-0.628446928319999,-15.0183215557354,24.5244022090877,-33.3981074696043,3.41,1.62,8,51.4,-17,79.6,2875,5.9,662527,628711,605131,518692,571970,457759,607208,666158,621035,593643,54.63,NA,NA,NA,NA,NA,NA,NA,41,3,"Curveball",0,0,0,0,0,0,0,0,"Standard","Standard",308,0,0
"695","FF",2022-05-25,92.5,1.78,5.94,"Urías, Julio",444876,628711,"","foul_bunt",NA,NA,NA,NA,4,"Alcides Escobar singles on a bunt ground ball to third baseman Justin Turner, deflected by pitcher Julio Urias.   Victor Robles to 2nd.","R","R","L","WSH","LAD","S",NA,"",0,1,2022,0.14,1.3,-0.62,2.61,NA,NA,645302,0,6,"Bot",NA,NA,NA,NA,605131,NA,NA,-6.39795055581431,-134.603747401075,-5.50450973696451,3.08053645676272,28.3571559216882,-15.3816838708272,3.41,1.62,NA,NA,NA,92.1,2358,6,662527,628711,605131,518692,571970,457759,607208,666158,621035,593643,54.49,NA,NA,NA,NA,NA,NA,NA,41,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",151,0,-0.072
"696","SI",2022-05-25,93.1,2.6,5.54,"Urías, Julio",444876,628711,"","foul_bunt",NA,NA,NA,NA,8,"Alcides Escobar singles on a bunt ground ball to third baseman Justin Turner, deflected by pitcher Julio Urias.   Victor Robles to 2nd.","R","R","L","WSH","LAD","S",NA,"",0,0,2022,0.74,1.43,-0.14,2.07,NA,NA,645302,0,6,"Bot",NA,NA,NA,NA,605131,NA,NA,-8.61071819159142,-135.319378910773,-6.25371840221169,10.9642955958777,28.5416853619142,-13.4309003144523,3.41,1.62,45,NA,NA,92.7,2464,6.1,662527,628711,605131,518692,571970,457759,607208,666158,621035,593643,54.43,NA,NA,NA,NA,NA,NA,NA,41,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",134,0,-0.076
"697","FF",2022-05-25,93.1,1.53,6.06,"Urías, Julio",596748,628711,"field_out","hit_into_play",NA,NA,NA,NA,4,"Maikel Franco grounds out softly, pitcher Julio Urias to first baseman Freddie Freeman.","R","R","L","WSH","LAD","X",1,"ground_ball",0,0,2022,0.31,1.47,-0.71,2.63,NA,NA,NA,2,2,"Bot",123.88,196.54,NA,NA,605131,NA,NA,-6.38431465061068,-135.372270051091,-6.23600122950404,5.25620512408294,29.6573968299385,-12.8631198463958,3.3,1.52,1,46.2,-74,92.6,2569,6,662527,628711,605131,518692,571970,457759,607208,666158,621035,593643,54.48,0.129,0.116,0,1,0,0,1,14,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",157,-0.011,-0.095
"698","FF",2022-05-14,91.8,1.54,6.01,"Urías, Julio",547180,628711,"field_out","hit_into_play",NA,NA,NA,NA,5,"Bryce Harper grounds out, first baseman Freddie Freeman to pitcher Julio Urias.","R","L","L","LAD","PHI","X",3,"ground_ball",0,0,2022,0.44,1.59,0.06,2.11,NA,NA,NA,0,5,"Top",166.4,149.91,NA,NA,605131,NA,NA,-4.62843702639528,-133.429678303846,-7.37937664796478,6.18880354562355,28.2297117043093,-11.7567202034241,3.22,1.57,98,81.8,8,91,2548,5.8,662704,628711,605131,518692,593643,457759,607208,621035,641355,605141,54.7,0.363,0.333,0,1,0,0,4,39,1,"4-Seam Fastball",3,8,8,3,8,3,8,3,"Infield shift","Standard",157,0.004,-0.222
"699","CU",2022-05-09,83.2,1.48,6.04,"Urías, Julio",545350,628711,"field_out","hit_into_play",NA,NA,NA,NA,7,"Jake Marisnick bunt grounds out, pitcher Julio Urias to first baseman Freddie Freeman.","R","R","L","PIT","LAD","X",1,"ground_ball",0,2,2022,-1.22,0.38,-0.54,1.79,NA,NA,NA,0,5,"Bot",121.59,190.74,NA,NA,605131,NA,NA,-2.19903227394694,-120.959392595313,-3.86163778318496,-11.2962883108608,28.0958246402152,-27.8157849736085,3.47,1.61,21,25.5,8,81.4,2972,5.6,662287,628711,605131,518692,666158,593643,607208,621035,641355,605141,54.92,0.266,0.239,0,1,0,0,1,39,3,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",297,-0.021,0.223
