,all_star_status,team_id,team_full_name,linkBegin,link,fullLink,fullVenueLink,season,team_code,file_code,team_abbreviation,team_name,lat,long,location_name,venue_name,city,state,region,country,first_year_of_play,short_name,franchise_name,club_name,active,spring_league_id,spring_league_name,spring_league_link,spring_league_abbreviation,venue_id,,venue_link,spring_venue_id,spring_venue_link,league_id,league_name,league_link,division_id,division_name,division_link,sport_id,sport_link,sport_name,parent_org_name,parent_org_id,parent_abbr
169,N,1991,ACL D-backs Black,https://statsapi.mlb.com,/api/v1/teams/1991,https://statsapi.mlb.com/api/v1/teams/1991,https://statsapi.mlb.com/api/v1/venues/4249,2022,dia,t1991,DIAB,ACL D-backs Black,33.5453,-111.8873,Scottsdale,Salt River Fields at Talking Stick,Scottsdale,AZ,arizona,USA,1996,ACL D-backs Black,ACL D-backs Black,ACL D-backs Black,TRUE,NA,,,,4249,,/api/v1/venues/4249,NA,,121,Arizona Complex League,/api/v1/league/121,560,Arizona Complex League East,/api/v1/divisions/560,16,/api/v1/sports/16,Rookie,Arizona Diamondbacks,109,ARI
170,N,1994,ACL Rockies,https://statsapi.mlb.com,/api/v1/teams/1994,https://statsapi.mlb.com/api/v1/teams/1994,https://statsapi.mlb.com/api/v1/venues/4249,2022,rck,t1994,RCK,ACL Rockies,33.5453,-111.8873,Scottsdale,Salt River Fields at Talking Stick,Scottsdale,AZ,arizona,USA,1993,ACL Rockies,ACL Rockies,ACL Rockies,TRUE,NA,,,,4249,,/api/v1/venues/4249,NA,,121,Arizona Complex League,/api/v1/league/121,560,Arizona Complex League East,/api/v1/divisions/560,16,/api/v1/sports/16,Rookie,Colorado Rockies,115,COL
172,N,1997,ACL White Sox,https://statsapi.mlb.com,/api/v1/teams/1997,https://statsapi.mlb.com/api/v1/teams/1997,https://statsapi.mlb.com/api/v1/venues/3809,2022,wsx,t1997,WSX,ACL White Sox,33.5141,-112.298,Glendale,Camelback Ranch,Glendale,AZ,arizona,USA,1998,ACL White Sox,ACL White Sox,ACL White Sox,TRUE,NA,,,,3809,,/api/v1/venues/3809,NA,,121,Arizona Complex League,/api/v1/league/121,561,Arizona Complex League West,/api/v1/divisions/561,16,/api/v1/sports/16,Rookie,Chicago White Sox,145,CWS
208,N,3430,ACL Reds,https://statsapi.mlb.com,/api/v1/teams/3430,https://statsapi.mlb.com/api/v1/teams/3430,https://statsapi.mlb.com/api/v1/venues/3834,2022,cin,t3430,RED,ACL Reds,33.4292,-112.3922,Goodyear,Goodyear Ballpark,Goodyear,AZ,arizona,USA,2010,ACL Reds,ACL Reds,ACL Reds,TRUE,NA,,,,3834,,/api/v1/venues/3834,NA,,121,Arizona Complex League,/api/v1/league/121,570,Arizona Complex League Central,/api/v1/divisions/570,16,/api/v1/sports/16,Rookie,Cincinnati Reds,113,CIN
230,N,5370,ACL Giants Orange,https://statsapi.mlb.com,/api/v1/teams/5370,https://statsapi.mlb.com/api/v1/teams/5370,https://statsapi.mlb.com/api/v1/venues/2824,2022,gio,t5370,GNTO,ACL Giants Orange,33.4681,-111.9458,Phoenix,Papago Sports Complex,Phoenix,AZ,arizona,USA,2018,ACL Giants Orange,ACL Giants Orange,ACL Giants Orange,TRUE,NA,,,,2824,,/api/v1/venues/2824,NA,,121,Arizona Complex League,/api/v1/league/121,560,Arizona Complex League East,/api/v1/divisions/560,16,/api/v1/sports/16,Rookie,San Francisco Giants,137,SFG
233,N,5374,ACL Guardians,https://statsapi.mlb.com,/api/v1/teams/5374,https://statsapi.mlb.com/api/v1/teams/5374,https://statsapi.mlb.com/api/v1/venues/3834,2022,gua,t5374,GUA,ACL Guardians,33.4292,-112.3922,Goodyear,Goodyear Ballpark,Goodyear,AZ,arizona,USA,2018,ACL Guardians,ACL Guardians,ACL Guardians,TRUE,NA,,,,3834,,/api/v1/venues/3834,NA,,121,Arizona Complex League,/api/v1/league/121,570,Arizona Complex League Central,/api/v1/divisions/570,16,/api/v1/sports/16,Rookie,Cleveland Guardians,114,CLE
123,N,515,Modesto Nuts,https://statsapi.mlb.com,/api/v1/teams/515,https://statsapi.mlb.com/api/v1/teams/515,https://statsapi.mlb.com/api/v1/venues/2791,2022,mod,t515,MOD,Nuts,37.6223,-121.0031,Modesto,John Thurman Field,Modesto,CA,california,USA,1946,Modesto,Modesto,Nuts,TRUE,NA,,,,2791,,/api/v1/venues/2791,NA,,110,California League,/api/v1/league/110,208,California League North,/api/v1/divisions/208,14,/api/v1/sports/14,Single-A,Seattle Mariners,136,SEA
124,N,259,Fresno Grizzlies,https://statsapi.mlb.com,/api/v1/teams/259,https://statsapi.mlb.com/api/v1/teams/259,https://statsapi.mlb.com/api/v1/venues/2640,2022,fre,t259,FRE,Grizzlies,36.7321,-119.7924,Fresno,Chukchansi Park,Fresno,CA,california,USA,1998,Fresno,Fresno,Grizzlies,TRUE,NA,,,,2640,,/api/v1/venues/2640,NA,,110,California League,/api/v1/league/110,208,California League North,/api/v1/divisions/208,14,/api/v1/sports/14,Single-A,Colorado Rockies,115,COL
125,N,516,Visalia Rawhide,https://statsapi.mlb.com,/api/v1/teams/516,https://statsapi.mlb.com/api/v1/teams/516,https://statsapi.mlb.com/api/v1/venues/2835,2022,vis,t516,VIS,Rawhide,36.3324,-119.3057,Visalia,Valley Strong Ballpark,Visalia,CA,california,USA,1946,Visalia,Visalia,Rawhide,TRUE,NA,,,,2835,,/api/v1/venues/2835,NA,,110,California League,/api/v1/league/110,209,California League South,/api/v1/divisions/209,14,/api/v1/sports/14,Single-A,Arizona Diamondbacks,109,ARI
128,N,524,Stockton Ports,https://statsapi.mlb.com,/api/v1/teams/524,https://statsapi.mlb.com/api/v1/teams/524,https://statsapi.mlb.com/api/v1/venues/2731,2022,sto,t524,STK,Ports,37.9553,-121.3022,Stockton,Banner Island Ballpark,Stockton,CA,california,USA,1946,Stockton,Stockton,Ports,TRUE,NA,,,,2731,,/api/v1/venues/2731,NA,,110,California League,/api/v1/league/110,208,California League North,/api/v1/divisions/208,14,/api/v1/sports/14,Single-A,Oakland Athletics,133,OAK
