"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"25","CH",2022-05-10,80.9,-1.39,5.71,"Reynolds, Matt",608703,502202,"field_out","hit_into_play",NA,NA,NA,NA,5,"Matt Reynolds lines out sharply to left fielder Christian Yelich.","R","R","R","CIN","MIL","X",7,"line_drive",1,1,2022,-0.74,0.25,0.03,2.11,NA,NA,NA,2,7,"Bot",66.63,100.43,NA,NA,605170,NA,NA,4.50962252974437,-117.844023500677,-1.92868066564515,-7.68623842661578,20.7590688647938,-29.6800776548922,3.05,1.48,285,103.7,14,80.3,1256,5.7,663090,502202,605170,642133,543939,607054,649966,592885,456715,621438,54.81,0.734,0.789,0,1,0,0,4,59,3,"Changeup",1,3,1,3,3,1,1,3,"Standard","Standard",236,-0.015,-0.087
"26","CU",2022-05-13,81.2,-0.11,6.2,"Soler, Jorge",624585,669203,"field_out","hit_into_play",NA,NA,NA,NA,2,"Jorge Soler flies out to left fielder Christian Yelich.","R","R","R","MIA","MIL","X",7,"fly_ball",0,0,2022,0.94,-0.35,0.18,3.07,NA,NA,NA,2,6,"Bot",42.73,82,NA,NA,605170,NA,NA,-1.16396647145826,-118.195402804103,0.309320968370593,9.01258907990666,23.2545608808954,-35.7612913755577,3.61,1.73,353,93,31,81.2,2709,6.3,661361,669203,605170,607054,543939,649966,642715,592885,456715,592669,54.17,0.171,0.291,0,1,0,0,3,43,1,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",51,-0.017,-0.095
"27","FF",2022-05-15,96,-1.19,5.9,"Anderson, Brian",605119,605540,"field_out","hit_into_play",NA,NA,NA,NA,11,"Brian Anderson lines out sharply to left fielder Christian Yelich.","R","R","R","MIA","MIL","X",7,"line_drive",0,1,2022,-0.38,1.53,-0.87,2.82,NA,NA,541645,2,5,"Bot",68.65,90.94,NA,NA,553882,NA,NA,1.72360479567189,-139.71731978853,-6.01386465042024,-5.41933630819854,33.4087067623859,-11.0045293824778,3.49,1.66,303,101.9,16,96.2,2260,6.5,661403,605540,553882,607054,543939,670712,649966,592885,621438,592669,53.97,0.531,0.603,0,1,0,0,4,49,2,"4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard",206,-0.032,-0.184
"28","SL",2022-05-18,88,-0.55,5.88,"Demeritte, Travis",641513,669203,"field_out","hit_into_play",NA,NA,NA,NA,5,"Travis Demeritte flies out to left fielder Christian Yelich.","R","R","R","MIL","ATL","X",7,"fly_ball",2,2,2022,0.72,-0.06,0.09,2.25,NA,NA,621020,2,6,"Top",80.96,103.72,NA,NA,605170,NA,NA,0.0633441416102469,-128.251969015583,-2.65841489836964,7.97173100445035,24.7337152588178,-32.477732903444,3.54,1.63,262,78.3,41,88.4,2702,6.3,661202,669203,605170,669374,543939,670712,649966,592885,621438,592669,54.17,0.02,0.022,0,1,0,0,3,48,6,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",104,0.018,-0.183
"29","CU",2022-05-18,82.2,-0.26,6.22,"Ozuna, Marcell",542303,669203,"field_out","hit_into_play",NA,NA,NA,NA,4,"Marcell Ozuna flies out to left fielder Christian Yelich.","R","R","R","MIL","ATL","X",7,"fly_ball",0,1,2022,0.48,-0.51,-0.71,2.68,NA,NA,NA,0,2,"Top",84.97,89.22,NA,NA,605170,NA,NA,-1.9470982847062,-119.691964937822,-0.48223679571193,4.98773762033511,24.2359755326833,-37.1489977148528,3.63,1.73,291,80.8,33,82.1,2657,6.3,661202,669203,605170,669374,543939,670712,649966,592885,621438,592669,54.2,0.029,0.041,0,1,0,0,3,7,2,"Curveball",0,0,0,0,0,0,0,0,"Infield shift","Standard",57,0.023,-0.188
"30","FF",2022-05-21,95.5,-3.29,5.1,"Bell, Josh",605137,641627,"field_out","hit_into_play",NA,NA,NA,NA,13,"Josh Bell lines out to left fielder Christian Yelich.","R","L","R","MIL","WSH","X",7,"line_drive",0,0,2022,-0.58,1.26,-1.29,2.61,NA,NA,NA,2,8,"Top",64.67,84.2,NA,NA,605170,NA,NA,6.52508999832676,-138.783450774376,-3.69588783206169,-9.04575661568771,34.0617513762935,-15.2838642346202,3.76,1.78,323,99.1,17,94.6,2095,6.1,661280,641627,605170,669374,543939,607054,649966,592885,456715,592669,54.44,0.449,0.512,0,1,0,0,4,66,1,"4-Seam Fastball",5,1,1,5,1,5,1,5,"Infield shift","Standard",226,0.002,-0.095
"31","FF",2022-05-23,94.8,-0.87,6.08,"Profar, Jurickson",595777,605288,"field_out","hit_into_play",NA,NA,NA,NA,11,"Jurickson Profar lines out to left fielder Christian Yelich.","R","L","R","SD","MIL","X",7,"line_drive",2,2,2022,-0.93,0.94,-0.98,3.39,NA,NA,NA,1,6,"Bot",52.18,111.79,NA,NA,553882,NA,NA,1.80504522162792,-138.045148508744,-3.46609394306593,-12.3374363475814,31.6858344290652,-19.6424296423426,3.31,1.6,283,95.4,18,95.1,2255,6.5,662257,605288,553882,642133,543939,607054,649966,592885,456715,621438,54.03,0.42,0.451,0,1,0,0,4,48,6,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Infield shift","Standard",216,-0.028,-0.135
"32","CH",2022-05-23,82.4,-1.28,5.52,"Machado, Manny",592518,502202,"field_out","hit_into_play",NA,NA,NA,NA,7,"Manny Machado flies out to left fielder Christian Yelich.","R","R","R","SD","MIL","X",7,"fly_ball",0,1,2022,-1.22,0.39,-0.47,1.79,640492,595751,630105,2,7,"Bot",92.34,83.49,NA,NA,553882,NA,NA,4.17458139596437,-119.925310035192,-2.64086793779863,-12.5505659038048,25.286689828462,-28.1523835679284,3.76,1.76,298,99.4,46,81.4,1347,5.8,662257,502202,553882,642133,543939,607054,649966,592885,456715,621438,54.7,0.029,0.054,0,1,0,0,3,59,2,"Changeup",2,2,2,2,2,2,2,2,"Standard","Standard",233,-0.116,-0.655
"33","SI",2022-05-25,95.7,0.22,6.31,"Hosmer, Eric",543333,676879,"field_out","hit_into_play",NA,NA,NA,NA,5,"Eric Hosmer lines out to left fielder Christian Yelich.","R","L","L","SD","MIL","X",7,"line_drive",1,1,2022,1.25,0.95,0.18,2.97,630105,NA,595777,2,5,"Bot",69.46,116.24,NA,NA,553882,NA,NA,-2.89311109205447,-139.144808658862,-5.15607412210464,16.828362232973,37.5597484244136,-18.8601277299579,3.8,1.83,251,80.2,23,93.5,2005,5.5,662228,676879,553882,642133,543939,607054,649966,592885,456715,621438,54.99,0.614,0.558,0,1,0,0,4,38,3,"Sinker",1,0,1,0,0,1,1,0,"Strategic","Standard",150,-0.047,-0.488
"34","CH",2022-05-25,85.7,-2.11,5.04,"Kim, Ha-Seong",673490,642207,"field_out","hit_into_play",NA,NA,NA,NA,8,"Ha-Seong Kim flies out to left fielder Christian Yelich.","R","R","R","SD","MIL","X",7,"fly_ball",3,2,2022,-1.94,-0.15,0.26,1.62,NA,NA,NA,0,9,"Bot",78.67,74.76,NA,NA,553882,NA,NA,9.74629097666667,-124.297777724587,-1.40722777099909,-22.1186883659051,26.9751819563029,-33.6418496927569,3.37,1.53,329,90,32,87.1,2730,7.6,662228,642207,553882,642133,543939,607054,649966,592885,456715,621438,52.93,0.066,0.123,0,1,0,0,3,66,7,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",277,-0.086,-0.308
